Date,Open,High,Low,Close,Adj Close,Volume
2019-06-26,0.612310,0.615610,0.612300,0.612090,0.612090,0
2019-06-27,0.614180,0.616200,0.614100,0.614160,0.614160,0
2019-06-28,0.616010,0.617050,0.615100,0.615850,0.615850,0
2019-07-01,0.618090,0.618160,0.615000,0.618130,0.618130,0
2019-07-02,0.617030,0.619450,0.616800,0.616980,0.616980,0
2019-07-03,0.619200,0.623720,0.618400,0.619350,0.619350,0
2019-07-04,0.622790,0.624000,0.621600,0.622870,0.622870,0
2019-07-05,0.622450,0.623450,0.620630,0.622440,0.622440,0
2019-07-08,0.621600,0.622970,0.621300,0.621700,0.621700,0
2019-07-09,0.621620,0.621700,0.617600,0.621400,0.621400,0
2019-07-10,0.617960,0.618740,0.616000,0.617900,0.617900,0
2019-07-11,0.617990,0.620150,0.617610,0.618070,0.618070,0
2019-07-12,0.619700,0.622600,0.619500,0.619680,0.619680,0
2019-07-15,0.622550,0.624900,0.622120,0.622520,0.622520,0
2019-07-16,0.625030,0.627050,0.624460,0.625060,0.625060,0
2019-07-17,0.625740,0.626000,0.623630,0.625640,0.625640,0
2019-07-18,0.624170,0.627790,0.623700,0.624200,0.624200,0
2019-07-19,0.627620,0.628990,0.626880,0.627490,0.627490,0
2019-07-22,0.627600,0.629070,0.626800,0.627760,0.627760,0
2019-07-23,0.627390,0.629090,0.626900,0.627190,0.627190,0
2019-07-24,0.627250,0.627480,0.625970,0.627300,0.627300,0
2019-07-25,0.626220,0.627830,0.621560,0.626200,0.626200,0
2019-07-26,0.623590,0.623840,0.620700,0.623600,0.623600,0
2019-07-29,0.620480,0.621270,0.619350,0.620440,0.620440,0
2019-07-30,0.618890,0.619960,0.616100,0.619200,0.619200,0
2019-07-31,0.616020,0.619050,0.615500,0.616110,0.616110,0
2019-08-01,0.618140,0.620820,0.617830,0.618320,0.618320,0
2019-08-02,0.613930,0.615100,0.610450,0.614050,0.614050,0
2019-08-05,0.611260,0.611400,0.604700,0.611370,0.611370,0
2019-08-06,0.601500,0.607510,0.601400,0.601470,0.601470,0
2019-08-07,0.603280,0.604840,0.595670,0.603350,0.603350,0
2019-08-08,0.603070,0.608110,0.602240,0.603110,0.603110,0
2019-08-09,0.608700,0.609240,0.605500,0.608820,0.608820,0
2019-08-12,0.604790,0.606730,0.601400,0.604550,0.604550,0
2019-08-13,0.602350,0.609770,0.601600,0.602200,0.602200,0
2019-08-14,0.607890,0.608810,0.602700,0.607970,0.607970,0
2019-08-15,0.606060,0.611150,0.606000,0.606040,0.606040,0
2019-08-16,0.609470,0.613030,0.608800,0.609520,0.609520,0
2019-08-19,0.611700,0.612030,0.609310,0.611700,0.611700,0
2019-08-20,0.609600,0.613000,0.609400,0.609300,0.609300,0
2019-08-21,0.610330,0.612500,0.610100,0.610440,0.610440,0
2019-08-22,0.611570,0.611680,0.609000,0.611700,0.611700,0
2019-08-23,0.609580,0.611200,0.605190,0.609330,0.609330,0
2019-08-26,0.602020,0.610690,0.602020,0.601940,0.601940,0
2019-08-27,0.609810,0.610200,0.607120,0.609740,0.609740,0
2019-08-28,0.609040,0.609640,0.607310,0.608980,0.608980,0
2019-08-29,0.607920,0.609770,0.605800,0.607890,0.607890,0
2019-08-30,0.608960,0.612810,0.606960,0.608910,0.608910,0
2019-09-02,0.611960,0.613510,0.611300,0.611920,0.611920,0
2019-09-03,0.612120,0.616310,0.611400,0.612000,0.612000,0
2019-09-04,0.616390,0.617970,0.615570,0.616200,0.616200,0
2019-09-05,0.615980,0.618760,0.615710,0.615900,0.615900,0
2019-09-06,0.617200,0.621120,0.617060,0.617300,0.617300,0
2019-09-09,0.621150,0.622970,0.620330,0.621200,0.621200,0
2019-09-10,0.621280,0.621950,0.620190,0.621290,0.621290,0
2019-09-11,0.620630,0.624400,0.619900,0.620580,0.620580,0
2019-09-12,0.624070,0.628510,0.620300,0.624000,0.624000,0
2019-09-13,0.620400,0.622140,0.618510,0.620730,0.620730,0
2019-09-16,0.620600,0.624060,0.619830,0.620540,0.620540,0
2019-09-17,0.623620,0.623720,0.619600,0.623620,0.623620,0
2019-09-18,0.619840,0.619900,0.617920,0.619930,0.619930,0
2019-09-19,0.618580,0.618580,0.613300,0.618790,0.618790,0
2019-09-20,0.614700,0.615760,0.613500,0.614880,0.614880,0
2019-09-23,0.614180,0.617120,0.614000,0.614220,0.614220,0
2019-09-24,0.616130,0.618830,0.615600,0.616090,0.616090,0
2019-09-25,0.617120,0.618230,0.614140,0.617160,0.617160,0
2019-09-26,0.616660,0.619300,0.615800,0.616710,0.616710,0
2019-09-27,0.618140,0.619780,0.616610,0.618240,0.618240,0
2019-09-30,0.617830,0.620130,0.616670,0.617600,0.617600,0
2019-10-01,0.619350,0.620090,0.612000,0.619160,0.619160,0
2019-10-02,0.613390,0.614250,0.610980,0.613420,0.613420,0
2019-10-03,0.612050,0.614270,0.611850,0.612050,0.612050,0
2019-10-04,0.614600,0.616830,0.614300,0.614530,0.614530,0
2019-10-07,0.615600,0.615620,0.612800,0.615700,0.615700,0
2019-10-08,0.613560,0.615180,0.612980,0.613600,0.613600,0
